,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
46,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
47,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
48,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
49,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
50,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
51,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
52,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
53,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
54,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
55,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
56,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
57,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
58,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
59,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
60,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
61,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
62,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
63,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
64,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
